"unique_id","PERWT","SEX","EDUC","INCWAGE"
"201001171",14818.8,1,6,32000
"201001172",14958.6,2,6,0
"2010011571",29078.4,2,5,13000
"2010014361",12162.6,1,11,49000
"2010014362",13560.6,2,11,93000
"2010015761",9087,1,10,1e+05
"2010015762",9506.4,2,11,35000
"2010017161",33552,2,7,30000
"2010017162",39144,2,5,0
"2010019951",15517.8,2,11,1500
"2010019952",18593.4,1,11,0
"20100111351",17754.6,1,6,0
"20100111352",13001.4,2,6,0
"20100112751",25863,2,5,9600
"20100112752",25024.2,1,5,0
"20100112753",24744.6,1,6,19800
"20100114151",17614.8,2,6,2700
"20100115551",11463.6,2,7,0
"20100116941",49349.4,1,10,38000
"20100118341",4473.6,2,7,0
"20100118342",7689,2,6,0
"20100119741",15378,1,10,0
"20100119742",13560.6,2,10,0
"20100121141",13980,1,6,55000
"20100121142",14818.8,2,6,0
"20100122541",5452.2,2,6,40900
"20100122542",6291,1,6,55000
"20100123931",25723.2,2,6,11200
"20100123932",25443.6,2,6,0
"20100123933",28099.8,2,6,0
"20100125331",11743.2,2,4,0
"20100128131",7828.8,1,7,0
"20100129531",16496.4,1,6,0
"20100129532",13560.6,2,6,0
"20100130921",43477.8,2,10,30000
"20100130922",43897.2,2,5,0
"20100132321",36348,2,6,21000
"20100132322",40961.4,1,6,20000
"20100133721",13840.2,1,8,61000
"20100133722",10904.4,2,6,0
"20100133723",13700.4,2,7,1500
"20100133724",13700.4,2,7,16000
"20100137911",2935.8,1,6,40000
"20100137912",2516.4,2,6,42000
"20100137913",6430.8,1,6,7000
"20100139311",40681.8,2,1,3000
"20100139314",26841.6,1,1,10000
"20100140711",11743.2,1,6,0
"20100142111",12721.8,1,7,45000
"20100142112",13281,2,11,33300
"20100143511",6430.8,1,7,86000
"20100143512",9506.4,2,7,0
"20100144901",16496.4,2,7,0
"20100146301",20550.6,1,6,0
"20100146302",33272.4,1,4,0
"20100147701",9366.6,1,6,75000
"20100147702",10904.4,2,10,0
"20100147703",19572,2,6,0
"20100149101",29218.2,1,7,0
"20100150501",13560.6,2,7,0
"20100151891",4054.2,1,7,40000
"20100151892",5592,2,8,4200
"20100153291",22088.4,2,6,2800
"20100156091",2656.2,1,6,12000
"20100157491",14399.4,1,7,0
"20100157492",12302.4,2,7,0
"20100157493",16496.4,1,6,0
"20100158881",2516.4,2,7,5000
"20100158882",3075.6,1,6,21000
"20100160281",20410.8,1,8,26000
"20100161681",13001.4,2,4,0
"20100161682",28099.8,1,6,34000
"20100163081",11463.6,2,6,25000
"20100163082",8248.2,1,6,50000
"20100164481",10065.6,1,6,0
"20100164482",9366.6,2,6,17900
"20100165871",14399.4,1,6,0
"20100167271",9506.4,2,7,19000
"20100168671",6990,2,6,3000
"20100170071",12582,2,6,16000
"20100170072",5172.6,2,6,1300
"20100171471",11883,2,8,0
"20100174261",13001.4,1,11,267000
"20100174262",13420.8,2,11,20000
"20100175661",11044.2,2,7,0
"20100177061",7689,1,8,75000
"20100177062",7689,2,11,106000
"20100177063",7828.8,1,7,11000
"20100178461",10764.6,2,10,60000
"20100178462",12302.4,1,8,42000
"20100179851",8527.8,1,6,0
"20100181251",19152.6,2,6,0
"20100182651",37746,2,11,41000
"20100182652",47392.2,1,7,0
"20100182653",42359.4,2,7,2000
"20100182654",37047,2,4,0
"20100184051",33552,2,7,75000
"20100184052",37326.6,1,7,30000
"20100185451",14818.8,1,10,13000
"20100185452",10764.6,2,10,54000
"20100186841",3495,1,6,28800
"20100186842",3215.4,2,10,0
"20100188241",13141.2,1,6,0
"20100188242",13700.4,2,6,0
"20100189641",2656.2,2,7,52000
"20100191041",14818.8,2,6,0
"20100192441",18174,1,10,1e+05
"20100192442",26562,2,10,45000
"20100193831",13141.2,1,6,0
"20100193832",9506.4,2,6,0
"20100193833",30616.2,2,1,0
"20100196631",9925.8,2,7,10000
"20100196632",7689,1,7,0
"20100196633",12861.6,1,6,0
"20100196634",7968.6,1,4,0
"20100198031",8527.8,1,6,0
"20100199431",10345.2,1,11,0
"20100199432",12721.8,2,10,0
"201001100821",52844.4,2,7,16000
"201001102221",9506.4,2,11,72000
"201001105021",2935.8,1,2,0
"201001106421",7409.4,1,10,72000
"201001106422",8947.2,2,10,0
"201001109211",8527.8,2,6,0
"201001109212",13281,1,4,0
"201001110611",33691.8,2,10,2000
"201001112011",17335.2,2,7,0
"201001112012",37047,1,7,17000
"201001113411",8947.2,2,6,36000
"201001114801",3495,2,6,14000
"201001114802",3215.4,1,6,0
"201001116201",17475,2,10,40100
"201001116202",12162.6,1,11,25000
"201001117601",14539.2,1,10,110000
"201001117602",14818.8,2,11,50000
"201001117603",10904.4,1,6,3000
"201001117604",10904.4,1,6,3000
"201001119001",2796,1,4,0
"201001121791",13980,2,11,10500
"201001123191",10764.6,1,6,59000
"201001123192",17614.8,2,6,0
"201001124591",7549.2,2,11,0
"201001125991",3075.6,1,11,120000
"201001125992",2935.8,2,10,0
"201001127391",15937.2,2,11,27100
"201001128781",10485,2,10,140000
"201001128782",8527.8,1,6,18300
"201001130181",23905.8,2,6,10000
"201001131581",10764.6,2,5,0
"201001132981",6291,1,7,11000
"201001134381",6430.8,1,7,720
"201001134382",13560.6,2,7,6000
"201001134383",5592,1,7,2600
"201001135771",10205.4,1,6,0
"201001135772",14259.6,2,10,24000
"201001137171",7968.6,1,6,23000
"201001137172",8248.2,2,2,16000
"201001137175",16356.6,1,6,19000
"201001138571",5592,1,4,0
"201001141371",7828.8,2,6,0
"201001142761",9366.6,2,7,600
"201001142762",21808.8,1,10,30000
"201001144161",7968.6,1,6,0
"201001144162",9087,2,6,0
"201001146961",11184,1,11,440
"201001146962",8108.4,2,10,1300
"201001148361",9366.6,2,11,40000
"201001148362",9506.4,1,7,0
"201001148363",21389.4,2,7,500
"201001148364",8807.4,1,6,0
"201001149751",25863,1,6,60000
"201001149752",44176.8,2,6,0
"201001152551",12302.4,1,6,0
"201001153951",19572,1,7,0
"201001155351",8527.8,1,5,0
"201001155352",9366.6,2,2,0
"201001156741",5032.8,2,6,3600
"201001158141",11323.8,1,10,94000
"201001158142",10624.8,2,10,0
"201001159541",10345.2,2,11,0
"201001160941",7689,1,10,1e+05
"201001160942",10345.2,2,6,42000
"201001162341",3075.6,2,6,0
"201001163731",3215.4,2,6,0
"201001163732",4333.8,1,6,40000
"201001165131",8807.4,1,6,0
"201001166531",13840.2,1,6,30000
"201001166532",12721.8,2,8,0
"201001166533",11044.2,1,6,600
"201001169331",6570.6,1,7,65000
"201001169332",9786,2,8,25000
"201001170721",20970,2,6,0
"201001172121",10205.4,1,6,15000
"201001173521",20970,2,10,0
"201001174921",12162.6,2,10,22000
"201001174922",10205.4,1,4,0
"201001174923",19991.4,2,8,28000
"201001176321",8947.2,2,6,0
"201001179111",25863,2,8,0
"201001179112",31455,1,6,48000
"201001181911",18453.6,1,6,40000
"201001181912",13420.8,2,7,0
"201001181913",15517.8,2,7,7100
"201001183311",6850.2,1,6,0
"201001184701",10065.6,2,8,28000
"201001186101",15378,2,7,30200
"201001187501",8527.8,2,5,0
"201001188901",8807.4,2,5,15000
"201001188902",14259.6,1,6,0
"201001188903",11184,1,3,0
"201001190301",9925.8,2,6,0
"201001190302",8108.4,1,6,0
"201001190304",28379.4,2,6,23000
"201001191691",8248.2,1,11,0
"201001191692",8248.2,2,6,0
"201001193091",9087,2,6,0
"201001195891",2516.4,2,5,0
"201001197291",8807.4,1,6,0
"201001197292",9366.6,2,6,0
"201001198681",10485,2,6,13000
"201001198682",9786,1,10,50000
"201001201481",3075.6,2,3,0
"201001202881",3075.6,2,6,0
"201001202882",3495,1,3,0
