"","id","abortion","pid","linc","female","college","mar","trump"
"1",1,0,5,NA,0,0,0,1
"2",2,0,2,10.3889799835841,1,0,0,1
"3",3,0,4,11.982929094216,0,1,1,1
"4",4,1,2,12.2060726455302,1,1,1,NA
"5",5,0,6,12.2060726455302,0,1,0,1
"6",6,1,2,NA,1,1,0,0
"7",7,0,0,9.83892236437633,1,0,0,0
"8",8,0,5,10.9150793732642,0,0,0,1
"9",9,0,3,8.61241245799717,1,0,0,NA
"10",10,0,1,11.5129204649577,0,0,1,1
"11",11,1,6,11.982929094216,0,1,0,1
"12",12,0,1,9.96408864466398,1,0,0,0
"13",13,0,1,10.0753167566096,1,0,0,NA
"14",14,0,0,11.6952428550888,0,1,1,NA
"15",15,1,4,7.60065242828687,1,0,0,NA
"16",16,1,3,11.1198754694258,1,0,0,NA
"17",17,1,2,11.5129204649577,1,1,1,0
"18",18,0,3,NA,1,1,1,NA
"19",19,1,1,11.3205475116983,1,1,0,0
"20",20,0,4,NA,0,1,0,1
"21",21,0,5,11.6952428550888,1,0,1,NA
"22",22,NA,5,NA,1,0,0,1
"23",23,1,2,11.5129204649577,1,0,1,0
"24",24,1,0,11.1198754694258,0,0,0,0
"25",25,0,5,11.3205475116983,1,1,1,1
"26",26,0,5,10.3889799835841,0,0,0,NA
"27",27,1,1,10.5320828785363,1,0,0,1
"28",28,-1,1,9.32807896220044,1,0,0,0
"29",29,-1,6,10.9150793732642,1,0,0,NA
"30",30,0,4,11.6952428550888,0,0,0,NA
"31",31,0,4,NA,1,0,1,1
"32",32,1,6,10.3889799835841,0,0,1,NA
"33",33,1,3,NA,1,1,1,0
"34",34,1,1,11.6952428550888,1,1,0,0
"35",35,0,2,NA,1,0,0,0
"36",36,1,6,11.8493941301565,0,1,1,1
"37",37,1,0,11.5129204649577,1,1,0,0
"38",38,1,0,10.7144066575796,0,1,0,0
"39",39,0,4,11.1198754694258,0,1,1,NA
"40",40,1,NA,NA,1,0,NA,NA
"41",41,1,0,9.52875773879718,1,0,0,0
"42",42,1,1,10.5320828785363,0,0,0,NA
"43",43,1,0,10.7144066575796,1,0,0,0
"44",44,1,0,NA,0,1,1,0
"45",45,1,2,11.3205475116983,1,1,0,0
"46",46,0,1,10.3889799835841,1,0,0,0
"47",47,1,1,11.6952428550888,0,1,1,NA
"48",48,0,1,12.2060726455302,1,1,1,0
"49",49,1,5,11.6952428550888,0,1,0,1
